,Tweets,Subjectivity,Polarity,Analysis
0,"Crypto Market Strength

Swing - 2.43%
ðŸ˜¨ â– â–¡â–¡â–¡â–¡â–¡â–¡â–¡â–¡â–¡ ðŸ˜„

Dominance Weighted - 1.64%
ðŸ˜¨ â– â–¡â–¡â–¡â–¡â–¡â–¡â–¡â–¡â–¡ ðŸ˜„

Unweighted - 3â€¦ ",0.0,0.0,Neutral
1, DON'T INVEST WHAT YOU ARE NOT PREPARED TO LOSE. Facebook crypto ads are SCAMs. Crypto is NOT a market to gâ€¦ ,0.0,0.0,Neutral
2,"  This will be BossArmy view when our Token hits the $10BILLION Market Cap. 

$BOSS

The Bâ€¦ ",0.0,0.0,Neutral
3, _Fazel You must see this  site before  they close free entry ! They give best crypto signals  in suâ€¦ ,0.55,0.75,Positive
4,"    avoided paying taxes, while crashing the crypto market numerouâ€¦ ",0.0,0.0,Neutral
5,_LP curve looks like the crypto-market .ðŸ¤£ðŸ¤£$ADA $Bitcoin $ETH $XRP,0.0,0.0,Neutral
6,   Whole market is shit right now but when it rebounds $QRDO will recover fâ€¦ ,0.5785714285714286,0.09523809523809523,Positive
7, Hec will be just fine.  It's just the fear of the market... hodl... get your staking rewards and breathe!!!,0.5,0.8138020833333335,Positive
8, In agreement. Market has everything priced in. Anticipating faster taper for rate hike in Mar. Hedâ€¦ ,0.0,0.0,Neutral
9,  Crypto market,0.0,0.0,Neutral
10, When you see the crypto market rising after you invest in it,0.0,0.0,Neutral
11, Footnote: the FED Put is what stops the market from collapsing. The idea the FED will ride to the rescue wâ€¦ ,0.0,0.0,Neutral
12,I joined KYRREXâ€™s PreSale and am looking forward to trading KRRX tokens on HitBTC â€“ a leading exchange in the cryptâ€¦ ,0.0,0.0,Neutral
13,"Of course its insane to claim there is no market for decentralization when the ""extreme"" decentralized assets repreâ€¦ ",1.0,-0.5625,Negative
14, This crash for crypto or the market market ðŸ˜‚,0.0,0.0,Neutral
15, I agree. Imagine an offramp from DeFi/Crypto to the stock market.,0.0,0.0,Neutral
16,each passing day in the crypto vc market pushes me more &amp; more to reconsider not being an entrepreneur,0.5,0.5,Positive
17,"show some love for @_chicocrypto - he's having a tough time, we all are.  The market is suckin right now, time to lâ€¦ ",0.6563492063492063,0.13227513227513227,Positive
18,"Crypto Top 5 by Market Cap

$BTC Bitcoin $47,168.00 (891.83B) (+1.06%)
$ETH Ethereum $3,791.55 (449.83B) (+1.07%)â€¦ ",0.5,0.5,Positive
19, That is the bad of crypto market. No the volatily.,0.6666666666666666,-0.6999999999999998,Negative
20,"_Crypto We are in a bear market.
Sell all your bags.",0.0,0.0,Neutral
21, What the future of the crypto market will look like,0.125,0.0,Neutral
22,"no longer discussing cool projects in my crypto group chats.

now they just teaching me how to cook.

is this what the bear market is?",0.65,0.35,Positive
23,"Stock Market Top Actives â‡†

Ticker Â· Price Â· Change Â· Change(%)

$CEI           1.04$    0.00$    0.01%
$Fâ€¦ ",0.5,0.5,Positive
24,IX Swap will be the FIRST platform to provide liquidity pools and automated market-making functions for the STO/TSOâ€¦ ,0.3333333333333333,0.25,Positive
