,score,tone_id,tone_name,sentence_id,text
0,0.51086,joy,Joy,0,Crypto Market Strength
1,0.798165,anger,Anger,2,Swing - 2.43%
2,0.788519,sadness,Sadness,2,Swing - 2.43%
3,0.769275,sadness,Sadness,8,Unweighted - 3â€¦   DON'T INVEST WHAT YOU ARE NOT PREPARED TO LOSE.
4,0.522194,joy,Joy,10,Crypto is NOT a market to gâ€¦    This will be BossArmy view when our Token hits the $10BILLION Market Cap.
5,0.997482,analytical,Analytical,11,$BOSS
6,0.509368,confident,Confident,13,The Bâ€¦   _Fazel You must see this  site before  they close free entry !
7,0.718824,anger,Anger,15,$Bitcoin $ETH $XRP    Whole market is shit right now but when it rebounds $QRDO will recover fâ€¦   Hec will be just fine.
8,0.951268,fear,Fear,16,It's just the fear of the market... hodl... get your staking rewards and breathe!!!
9,0.681699,tentative,Tentative,16,It's just the fear of the market... hodl... get your staking rewards and breathe!!!
10,0.514388,joy,Joy,21,"The idea the FED will ride to the rescue wâ€¦  I joined KYRREXâ€™s PreSale and am looking forward to trading KRRX tokens on HitBTC â€“ a leading exchange in the cryptâ€¦  Of course its insane to claim there is no market for decentralization when the ""extreme"" decentralized assets repreâ€¦   This crash for crypto or the market market ðŸ˜‚  I agree."
11,0.687768,analytical,Analytical,22,Imagine an offramp from DeFi/Crypto to the stock market.
12,0.721624,joy,Joy,23,"each passing day in the crypto vc market pushes me more &amp; more to reconsider not being an entrepreneur show some love for @_chicocrypto - he's having a tough time, we all are."
13,0.576266,sadness,Sadness,32,That is the bad of crypto market.
14,0.97759,confident,Confident,35,Sell all your bags.
15,0.689314,joy,Joy,36,What the future of the crypto market will look like no longer discussing cool projects in my crypto group chats.
16,0.564219,joy,Joy,37,now they just teaching me how to cook.
17,0.88939,tentative,Tentative,37,now they just teaching me how to cook.
